Complexity metrics,sexta, 7 nov. 2025 19:17:00 WET
Method,CogC,ev(G),iv(G),v(G)
"clicked(InputEvent, float, float)",2,n/a,n/a,n/a
completeAchievement(String),0,n/a,n/a,n/a
connected(Connection),3,n/a,n/a,n/a
convertToString(Object),1,2,1,2
convertX(float),0,n/a,n/a,n/a
convertY(float),0,n/a,n/a,n/a
"create(int, int, int, int, int)",3,n/a,n/a,n/a
"disconnected(Connection, DcReason)",1,n/a,n/a,n/a
display(Stats),0,n/a,n/a,n/a
"displayContent(Building, MultiReqImage, UnlockableContent)",3,n/a,n/a,n/a
dispose(),0,n/a,n/a,n/a
draw(),1,n/a,n/a,n/a
"draw(float, float, float, float)",0,n/a,n/a,n/a
"draw(float, float, float, float, float, float, float, ...)",0,n/a,n/a,n/a
"draw(int, int)",1,n/a,n/a,n/a
efficiency(Building),1,n/a,n/a,n/a
enabled(),0,n/a,n/a,n/a
end(),0,n/a,n/a,n/a
endForceLandscape(),0,n/a,n/a,n/a
"enter(InputEvent, float, float, int, Element)",0,n/a,n/a,n/a
"exit(InputEvent, float, float, int, Element)",7,n/a,n/a,n/a
"fill(int, int, boolean, Boolf<Tile>, Cons<Tile>)",38,1,19,23
find(String),2,n/a,n/a,n/a
"find(String, String)",1,n/a,n/a,n/a
"find(String, TextureRegion)",1,n/a,n/a,n/a
generateException(),0,n/a,n/a,n/a
getBottomHeight(),0,n/a,n/a,n/a
"getColor(Vec3, Color)",0,n/a,n/a,n/a
"getDarkness(int, int)",0,n/a,n/a,n/a
getHeight(Vec3),0,n/a,n/a,n/a
getLeftWidth(),0,n/a,n/a,n/a
getPixmap(AtlasRegion),0,n/a,n/a,n/a
getPrefHeight(),0,n/a,n/a,n/a
getPrefWidth(),0,n/a,n/a,n/a
getRightWidth(),0,n/a,n/a,n/a
getSector(),0,n/a,n/a,n/a
"getStat(String, int)",0,n/a,n/a,n/a
getTopHeight(),0,n/a,n/a,n/a
"handleItem(Building, Item)",0,n/a,n/a,n/a
has(String),0,n/a,n/a,n/a
imageSize(),0,n/a,n/a,n/a
init(),0,n/a,n/a,n/a
initialValue(),0,1,1,1
"internalRead(Class<T>, Class, JsonValue, Class)",59,18,23,31
isAchieved(String),0,n/a,n/a,n/a
isFound(TextureRegion),0,n/a,n/a,n/a
isGenerating(),0,n/a,n/a,n/a
isMap(),0,n/a,n/a,n/a
"keyDown(InputEvent, KeyCode)",0,n/a,n/a,n/a
"loadAsync(AssetManager, String, Fi, MusicParameter)",0,n/a,n/a,n/a
"loadAsync(AssetManager, String, Fi, SoundParameter)",0,n/a,n/a,n/a
"loadClass(String, boolean)",4,n/a,n/a,n/a
"loadSync(AssetManager, String, Fi, FreeTypeFontLoaderParameter)",3,n/a,n/a,n/a
"loadSync(AssetManager, String, Fi, MusicParameter)",9,n/a,n/a,n/a
"loadSync(AssetManager, String, Fi, SoundParameter)",6,n/a,n/a,n/a
"longPress(Element, float, float)",3,n/a,n/a,n/a
mindustry.ClientLauncher.add(ApplicationListener),1,1,2,2
mindustry.ClientLauncher.exit(),0,1,1,1
mindustry.ClientLauncher.init(),0,1,1,1
mindustry.ClientLauncher.pause(),2,1,3,3
"mindustry.ClientLauncher.resize(int, int)",3,2,2,3
mindustry.ClientLauncher.resume(),1,1,2,2
mindustry.ClientLauncher.setup(),39,3,17,24
mindustry.ClientLauncher.update(),17,1,8,11
mindustry.Vars.checkLaunch(),2,1,2,2
mindustry.Vars.finishLaunch(),1,1,2,2
mindustry.Vars.init(),18,1,9,12
mindustry.Vars.loadAsync(),0,1,1,1
mindustry.Vars.loadFileLogger(),4,2,3,4
mindustry.Vars.loadLogger(),13,2,5,8
mindustry.Vars.loadSettings(),20,2,12,13
"mindustry.ai.Astar.TileHeuristic.cost(Tile, Tile)",0,1,1,1
"mindustry.ai.Astar.pathfind(Tile, Tile, TileHeuristic, Boolf<Tile>)",0,1,1,1
"mindustry.ai.Astar.pathfind(int, int, int, int, TileHeuristic, Boolf<Tile>)",0,1,1,1
"mindustry.ai.Astar.pathfind(int, int, int, int, TileHeuristic, DistanceHeuristic, Boolf<Tile>)",23,4,10,14
mindustry.ai.BaseBuilderAI.BaseBuilderAI(TeamData),0,1,1,1
mindustry.ai.BaseBuilderAI.randomPosition(),2,3,3,3
"mindustry.ai.BaseBuilderAI.tryPlace(BasePart, int, int)",32,8,11,19
mindustry.ai.BaseBuilderAI.update(),78,13,28,39
mindustry.ai.BaseRegistry.BasePart.BasePart(Schematic),0,1,1,1
mindustry.ai.BaseRegistry.BasePart.compareTo(BasePart),0,1,1,1
mindustry.ai.BaseRegistry.forResource(Content),0,1,1,1
mindustry.ai.BaseRegistry.load(),41,2,16,24
mindustry.ai.BlockIndexer.BlockIndexer(),47,1,12,16
mindustry.ai.BlockIndexer.TurretQuadtree.TurretQuadtree(Rect),0,1,1,1
mindustry.ai.BlockIndexer.TurretQuadtree.hitbox(Building),0,1,1,1
mindustry.ai.BlockIndexer.TurretQuadtree.newChild(Rect),0,1,1,1
"mindustry.ai.BlockIndexer.addFloorIndex(Tile, Floor)",3,2,4,5
mindustry.ai.BlockIndexer.addIndex(Tile),62,2,20,26
"mindustry.ai.BlockIndexer.allBuildings(float, float, float, Cons<Building>)",7,3,5,6
mindustry.ai.BlockIndexer.clearFlags(),3,1,1,3
"mindustry.ai.BlockIndexer.eachBlock(Team, Rect, Boolf<Building>, Cons<Building>)",5,3,3,5
"mindustry.ai.BlockIndexer.eachBlock(Team, float, float, float, Boolf<Building>, Cons<Building>)",12,3,6,7
"mindustry.ai.BlockIndexer.eachBlock(Teamc, float, Boolf<Building>, Cons<Building>)",0,1,1,1
"mindustry.ai.BlockIndexer.findClosestFlag(float, float, Team, BlockFlag)",0,1,1,1
"mindustry.ai.BlockIndexer.findClosestOre(Unit, Item)",0,1,1,1
"mindustry.ai.BlockIndexer.findClosestOre(float, float, Item)",23,2,6,9
"mindustry.ai.BlockIndexer.findClosestWallOre(Unit, Item)",0,1,1,1
"mindustry.ai.BlockIndexer.findClosestWallOre(float, float, Item)",23,2,6,9
"mindustry.ai.BlockIndexer.findEnemyTile(Team, float, float, float, Boolf<Building>)",0,1,1,1
"mindustry.ai.BlockIndexer.findEnemyTile(Team, float, float, float, BuildingPriorityf, Boolf<Building>)",12,4,6,11
"mindustry.ai.BlockIndexer.findTile(Team, float, float, float, Boolf<Building>)",0,1,1,1
"mindustry.ai.BlockIndexer.findTile(Team, float, float, float, Boolf<Building>, boolean)",12,4,3,12
mindustry.ai.BlockIndexer.getAllPresentOres(),0,1,1,1
mindustry.ai.BlockIndexer.getDamaged(Team),1,2,1,2
"mindustry.ai.BlockIndexer.getEnemy(Team, BlockFlag)",22,6,6,12
mindustry.ai.BlockIndexer.getFlagged(Team),0,1,1,1
"mindustry.ai.BlockIndexer.getFlagged(Team, BlockFlag)",0,1,1,1
mindustry.ai.BlockIndexer.getFlaggedFloors(BlockFlag),1,1,2,2
mindustry.ai.BlockIndexer.hasOre(Item),0,1,1,1
mindustry.ai.BlockIndexer.hasWallOre(Item),0,1,1,1
mindustry.ai.BlockIndexer.isBlockPresent(Block),1,1,1,2
mindustry.ai.BlockIndexer.notifyHealthChanged(Building),6,1,3,4
mindustry.ai.BlockIndexer.process(Tile),23,1,14,14
"mindustry.ai.BlockIndexer.removeFloorIndex(Tile, Floor)",3,2,2,4
mindustry.ai.BlockIndexer.removeIndex(Tile),15,1,8,10
mindustry.ai.BlockIndexer.updatePresentOres(),4,1,4,4
mindustry.ai.ControlPathfinder.ControlPathfinder(),0,1,1,1
"mindustry.ai.ControlPathfinder.FieldCache.FieldCache(PathCost, int, int, int)",0,1,1,1
"mindustry.ai.ControlPathfinder.PathRequest.PathRequest(Unit, int, int, int)",0,1,1,1
"mindustry.ai.ControlPathfinder.addFlowCluster(FieldCache, int, boolean)",0,1,1,1
"mindustry.ai.ControlPathfinder.addFlowCluster(FieldCache, int, int, boolean)",32,7,7,16
"mindustry.ai.ControlPathfinder.avoid(int, PathCost, int)",1,1,1,2
"mindustry.ai.ControlPathfinder.checkEdges(PathRequest, int, int, int, int, int, int, ...)",3,1,3,3
mindustry.ai.ControlPathfinder.checkEvents(),124,2,20,24
"mindustry.ai.ControlPathfinder.clusterAstar(PathRequest, int, int, int)",28,6,8,23
"mindustry.ai.ControlPathfinder.clusterChanged(int, int, int, int)",5,1,5,5
"mindustry.ai.ControlPathfinder.clusterNodeHeuristic(int, int, int, int)",0,1,1,1
"mindustry.ai.ControlPathfinder.cost(int, PathCost, int)",5,3,2,7
"mindustry.ai.ControlPathfinder.findClosestNode(int, int, int, int)",12,5,5,11
"mindustry.ai.ControlPathfinder.getCluster(int, int, int)",3,4,1,4
"mindustry.ai.ControlPathfinder.getCluster(int, int, int, int)",0,1,1,1
"mindustry.ai.ControlPathfinder.getCost(FieldCache, int, int, boolean)",4,3,2,4
"mindustry.ai.ControlPathfinder.getCreateCluster(int, int, int)",2,2,2,2
"mindustry.ai.ControlPathfinder.getCreateCluster(int, int, int, int)",0,1,1,1
"mindustry.ai.ControlPathfinder.getPathPosition(Unit, Vec2, Vec2, Vec2, boolean[])",130,15,32,60
"mindustry.ai.ControlPathfinder.getPathPosition(Unit, Vec2, Vec2, boolean[])",0,1,1,1
"mindustry.ai.ControlPathfinder.heuristic(int, int)",0,1,1,1
mindustry.ai.ControlPathfinder.idToCost(int),0,1,1,1
"mindustry.ai.ControlPathfinder.initializePathRequest(PathRequest, int, int, int, int, int, int)",13,3,5,11
"mindustry.ai.ControlPathfinder.innerAstar(int, PathCost, int, int, int, int, int, ...)",19,6,9,17
"mindustry.ai.ControlPathfinder.isNearObstacle(Unit, int, int, int, int)",0,1,1,1
"mindustry.ai.ControlPathfinder.makeNodeIndex(int, int, int, int)",4,1,1,5
"mindustry.ai.ControlPathfinder.nearPassable(int, int, PathCost, int)",1,1,2,2
"mindustry.ai.ControlPathfinder.overlap(int, int, PathCost, int, int, float, float, ...)",3,3,2,6
"mindustry.ai.ControlPathfinder.passable(int, PathCost, int)",1,1,1,2
"mindustry.ai.ControlPathfinder.portalToVec(Cluster, int, int, int, int, Vec2)",0,1,1,1
"mindustry.ai.ControlPathfinder.queueClusterUpdate(int, int)",2,1,2,5
"mindustry.ai.ControlPathfinder.raycast(int, PathCost, int, int, int, int)",13,4,2,12
"mindustry.ai.ControlPathfinder.raycastFast(int, PathCost, int, int, int, int)",12,4,3,11
"mindustry.ai.ControlPathfinder.raycastFastAvoid(int, PathCost, int, int, int, int)",12,4,3,11
"mindustry.ai.ControlPathfinder.raycastRect(int, float, float, float, float, int, PathCost, ...)",14,4,6,16
mindustry.ai.ControlPathfinder.recalculatePath(PathRequest),0,1,1,1
mindustry.ai.ControlPathfinder.run(),66,8,15,17
"mindustry.ai.ControlPathfinder.solid(int, PathCost, int, boolean)",1,1,1,2
"mindustry.ai.ControlPathfinder.solid(int, PathCost, int, int)",1,1,5,5
mindustry.ai.ControlPathfinder.start(),2,2,2,3
mindustry.ai.ControlPathfinder.stop(),1,1,2,2
"mindustry.ai.ControlPathfinder.tcost(int, PathCost, int)",0,1,1,1
"mindustry.ai.ControlPathfinder.tileCost(int, PathCost, int, int)",0,1,1,1
"mindustry.ai.ControlPathfinder.updateCluster(int, int, int, int)",38,3,11,21
mindustry.ai.ControlPathfinder.updateClustersComplete(int),15,1,6,6
mindustry.ai.ControlPathfinder.updateClustersInner(int),15,1,6,6
"mindustry.ai.ControlPathfinder.updateFields(FieldCache, long)",42,11,7,20
"mindustry.ai.ControlPathfinder.updateInnerEdges(int, PathCost, int, int, Cluster)",61,9,7,14
"mindustry.ai.ControlPathfinder.updateInnerEdges(int, int, int, int, Cluster)",0,1,1,1
mindustry.ai.ControlPathfinder.updateSingleTile(Tile),11,1,6,9
mindustry.ai.ControlPathfinder.updateTile(Tile),0,1,1,1
mindustry.ai.ItemUnitStance.ItemUnitStance(Item),0,1,1,1
mindustry.ai.ItemUnitStance.all(),0,1,1,1
mindustry.ai.ItemUnitStance.getByItem(Item),1,1,2,2
mindustry.ai.ItemUnitStance.getIcon(),0,1,1,1
mindustry.ai.ItemUnitStance.localized(),0,1,1,1
mindustry.ai.PathfindQueue.PathfindQueue(),0,1,1,1
mindustry.ai.PathfindQueue.PathfindQueue(int),0,1,1,1
"mindustry.ai.PathfindQueue.add(int, float)",3,1,3,3
mindustry.ai.PathfindQueue.clear(),0,1,1,1
mindustry.ai.PathfindQueue.empty(),0,1,1,1
mindustry.ai.PathfindQueue.growToSize(int),4,2,1,5
mindustry.ai.PathfindQueue.peek(),1,1,1,2
mindustry.ai.PathfindQueue.poll(),2,2,2,3
"mindustry.ai.PathfindQueue.siftDown(int, int, float)",6,3,1,5
"mindustry.ai.PathfindQueue.siftUp(int, int, float)",3,3,1,3
mindustry.ai.Pathfinder.EnemyCoreField.getPositions(IntSeq),31,1,13,17
mindustry.ai.Pathfinder.Flowfield.Flowfield(),0,1,1,1
mindustry.ai.Pathfinder.Flowfield.Flowfield(int),0,1,1,1
"mindustry.ai.Pathfinder.Flowfield.getCost(int[], int)",0,1,1,1
mindustry.ai.Pathfinder.Flowfield.getNextTile(Tile),0,1,1,1
"mindustry.ai.Pathfinder.Flowfield.getNextTile(Tile, boolean)",0,1,1,1
"mindustry.ai.Pathfinder.Flowfield.getNextTile(Tile, int)",0,1,1,1
mindustry.ai.Pathfinder.Flowfield.hasCompleteWeights(),1,1,1,2
mindustry.ai.Pathfinder.Flowfield.hasTargets(),0,1,1,1
mindustry.ai.Pathfinder.Flowfield.needsRefresh(),0,1,1,1
mindustry.ai.Pathfinder.Flowfield.passable(int),2,1,3,3
mindustry.ai.Pathfinder.Flowfield.setup(),0,1,1,1
mindustry.ai.Pathfinder.Flowfield.updateTargetPositions(),0,1,1,1
mindustry.ai.Pathfinder.Pathfinder(),62,9,16,22
mindustry.ai.Pathfinder.PositionTarget.PositionTarget(Position),0,1,1,1
mindustry.ai.Pathfinder.PositionTarget.getPositions(IntSeq),0,1,1,1
mindustry.ai.Pathfinder.clearCache(),0,1,1,1
"mindustry.ai.Pathfinder.get(int, int)",0,1,1,1
"mindustry.ai.Pathfinder.getField(Team, int, int)",1,1,2,2
"mindustry.ai.Pathfinder.getTargetTile(Tile, Flowfield)",0,1,1,1
"mindustry.ai.Pathfinder.getTargetTile(Tile, Flowfield, boolean)",0,1,1,1
"mindustry.ai.Pathfinder.getTargetTile(Tile, Flowfield, boolean, int)",25,6,18,29
mindustry.ai.Pathfinder.packTile(Tile),36,4,14,23
mindustry.ai.Pathfinder.preloadPath(Flowfield),0,1,1,1
mindustry.ai.Pathfinder.registerPath(Flowfield),1,1,2,2
mindustry.ai.Pathfinder.run(),17,3,6,9
mindustry.ai.Pathfinder.start(),1,2,1,2
mindustry.ai.Pathfinder.stop(),1,1,2,2
"mindustry.ai.Pathfinder.updateFrontier(Flowfield, long)",29,9,8,18
mindustry.ai.Pathfinder.updateTargets(Flowfield),4,3,3,4
mindustry.ai.Pathfinder.updateTile(Tile),3,2,2,3
mindustry.ai.RtsAI.RtsAI(TeamData),5,1,3,3
mindustry.ai.RtsAI.assignSquads(),16,1,11,12
mindustry.ai.RtsAI.checkBuilding(),4,1,5,5
"mindustry.ai.RtsAI.estimateStats(float, float, float, float, float, float, boolean)",15,3,8,16
"mindustry.ai.RtsAI.findTarget(float, float, int, float, float, boolean, boolean, ...)",11,4,8,11
"mindustry.ai.RtsAI.handleSquad(Seq<Unit>, boolean)",71,3,23,36
mindustry.ai.RtsAI.update(),1,1,2,2
"mindustry.ai.UnitCommand.UnitCommand(String, String, Func<Unit, AIController>)",1,1,1,2
"mindustry.ai.UnitCommand.UnitCommand(String, String, KeyBind, Func<Unit, AIController>)",0,1,1,1
mindustry.ai.UnitCommand.getContentType(),0,1,1,1
mindustry.ai.UnitCommand.getEmoji(),0,1,1,1
mindustry.ai.UnitCommand.getIcon(),0,1,1,1
mindustry.ai.UnitCommand.loadAll(),0,1,1,1
mindustry.ai.UnitCommand.localized(),0,1,1,1
mindustry.ai.UnitCommand.toString(),0,1,1,1
"mindustry.ai.UnitGroup.calculateFormation(Vec2, int)",51,1,14,18
"mindustry.ai.UnitGroup.updateRaycast(int, Vec2)",0,1,1,1
"mindustry.ai.UnitGroup.updateRaycast(int, Vec2, Vec2)",6,1,4,6
"mindustry.ai.UnitStance.UnitStance(String, String, KeyBind)",0,1,1,1
"mindustry.ai.UnitStance.UnitStance(String, String, KeyBind, boolean)",0,1,1,1
mindustry.ai.UnitStance.getContentType(),0,1,1,1
mindustry.ai.UnitStance.getEmoji(),0,1,1,1
mindustry.ai.UnitStance.getIcon(),0,1,1,1
mindustry.ai.UnitStance.init(),3,3,2,3
mindustry.ai.UnitStance.loadAll(),1,1,1,2
mindustry.ai.UnitStance.localized(),0,1,1,1
mindustry.ai.UnitStance.toString(),0,1,1,1
mindustry.ai.WaveSpawner.WaveSpawner(),4,1,3,3
mindustry.ai.WaveSpawner.countFlyerSpawns(),0,1,1,1
mindustry.ai.WaveSpawner.countGroundSpawns(),0,1,1,1
mindustry.ai.WaveSpawner.countSpawns(),0,1,1,1
"mindustry.ai.WaveSpawner.doShockwave(float, float)",0,1,1,1
"mindustry.ai.WaveSpawner.eachFlyerSpawn(int, Floatc2)",15,6,9,11
mindustry.ai.WaveSpawner.eachGroundSpawn(Intc2),0,1,1,1
"mindustry.ai.WaveSpawner.eachGroundSpawn(int, SpawnConsumer)",39,10,14,17
mindustry.ai.WaveSpawner.getFirstSpawn(),0,1,1,1
mindustry.ai.WaveSpawner.getSpawns(),0,1,1,1
mindustry.ai.WaveSpawner.isSpawning(),1,1,2,2
mindustry.ai.WaveSpawner.playerNear(),2,1,4,4
mindustry.ai.WaveSpawner.reset(),3,1,3,3
mindustry.ai.WaveSpawner.spawnEffect(Unit),0,1,1,1
"mindustry.ai.WaveSpawner.spawnEffect(float, float, float, UnitType)",0,1,1,1
mindustry.ai.WaveSpawner.spawnEnemies(),23,4,8,10
"mindustry.ai.WaveSpawner.spawnUnit(SpawnGroup, float, float)",1,1,1,2
mindustry.ai.types.AssemblerAI.inPosition(),1,1,2,2
mindustry.ai.types.AssemblerAI.updateMovement(),2,1,3,3
mindustry.ai.types.BoostAI.updateUnit(),4,1,4,4
mindustry.ai.types.BuilderAI.BuilderAI(),0,1,1,1
"mindustry.ai.types.BuilderAI.BuilderAI(boolean, float)",0,1,1,1
mindustry.ai.types.BuilderAI.fallback(),3,2,2,4
mindustry.ai.types.BuilderAI.init(),2,1,2,3
"mindustry.ai.types.BuilderAI.nearEnemy(int, int)",0,1,1,1
mindustry.ai.types.BuilderAI.shouldFire(),1,1,2,2
mindustry.ai.types.BuilderAI.shouldShoot(),1,1,2,2
mindustry.ai.types.BuilderAI.updateMovement(),113,8,57,67
mindustry.ai.types.BuilderAI.useFallback(),3,2,4,5
mindustry.ai.types.CargoAI.findAnyTarget(Building),15,5,5,10
"mindustry.ai.types.CargoAI.findDropTarget(Item, int, UnitCargoUnloadPointBuild)",4,4,3,4
mindustry.ai.types.CargoAI.sortTargets(Seq<UnitCargoUnloadPointBuild>),0,1,1,1
mindustry.ai.types.CargoAI.updateMovement(),47,6,17,20
mindustry.ai.types.CommandAI.afterRead(Unit),1,1,2,2
mindustry.ai.types.CommandAI.clearCommands(),0,1,1,1
mindustry.ai.types.CommandAI.command(UnitCommand),1,1,2,2
mindustry.ai.types.CommandAI.commandPosition(Vec2),2,2,2,3
"mindustry.ai.types.CommandAI.commandPosition(Vec2, boolean)",6,2,3,6
mindustry.ai.types.CommandAI.commandQueue(Position),7,1,6,7
mindustry.ai.types.CommandAI.commandTarget(Teamc),1,1,2,2
"mindustry.ai.types.CommandAI.commandTarget(Teamc, boolean)",0,1,1,1
mindustry.ai.types.CommandAI.currentCommand(),1,1,1,2
mindustry.ai.types.CommandAI.defaultBehavior(),134,6,79,97
mindustry.ai.types.CommandAI.disableStance(UnitStance),0,1,1,1
"mindustry.ai.types.CommandAI.findMainTarget(float, float, float, boolean, boolean)",3,2,3,4
"mindustry.ai.types.CommandAI.findTarget(float, float, float, boolean, boolean)",3,1,2,3
mindustry.ai.types.CommandAI.finishPath(),45,9,22,29
mindustry.ai.types.CommandAI.hasCommand(),0,1,1,1
mindustry.ai.types.CommandAI.hasStance(UnitStance),1,1,2,2
mindustry.ai.types.CommandAI.hit(Bullet),3,1,8,8
mindustry.ai.types.CommandAI.init(),6,1,3,5
mindustry.ai.types.CommandAI.isAttacking(),1,1,2,2
mindustry.ai.types.CommandAI.isLogicControllable(),0,1,1,1
mindustry.ai.types.CommandAI.keepState(),0,1,1,1
"mindustry.ai.types.CommandAI.nearAttackTarget(float, float, float)",2,1,3,3
mindustry.ai.types.CommandAI.removed(Unit),0,1,1,1
mindustry.ai.types.CommandAI.retarget(),1,1,1,2
mindustry.ai.types.CommandAI.setStance(UnitStance),1,2,1,2
"mindustry.ai.types.CommandAI.setStance(UnitStance, boolean)",2,1,2,2
mindustry.ai.types.CommandAI.setupLastPos(),0,1,1,1
mindustry.ai.types.CommandAI.shouldFire(),0,1,1,1
mindustry.ai.types.CommandAI.stanceChanged(),2,1,2,3
mindustry.ai.types.CommandAI.tryPickupUnit(Payloadc),2,1,6,6
mindustry.ai.types.CommandAI.updateUnit(),21,1,22,23
"mindustry.ai.types.DefenderAI.findTarget(float, float, float, boolean, boolean)",5,4,5,8
mindustry.ai.types.DefenderAI.updateMovement(),3,1,3,3
mindustry.ai.types.DefenderAI.updateTargeting(),1,1,2,2
"mindustry.ai.types.FlyingAI.findMainTarget(float, float, float, boolean, boolean)",27,11,7,13
"mindustry.ai.types.FlyingAI.findTarget(float, float, float, boolean, boolean)",1,1,2,2
"mindustry.ai.types.FlyingAI.targetFlag(float, float, BlockFlag, boolean)",21,4,8,12
mindustry.ai.types.FlyingAI.updateMovement(),7,1,5,7
mindustry.ai.types.FlyingFollowAI.fallback(),0,1,1,1
mindustry.ai.types.FlyingFollowAI.shouldFaceTarget(),2,1,3,3
mindustry.ai.types.FlyingFollowAI.updateMovement(),9,1,10,10
mindustry.ai.types.FlyingFollowAI.updateVisuals(),5,1,4,4
mindustry.ai.types.FlyingFollowAI.useFallback(),1,1,1,2
mindustry.ai.types.GroundAI.updateMovement(),44,1,18,28
mindustry.ai.types.HugAI.updateMovement(),31,3,14,21
"mindustry.ai.types.LogicAI.checkTarget(Teamc, float, float, float)",0,1,1,1
mindustry.ai.types.LogicAI.checkTargetTimer(Object),0,1,1,1
mindustry.ai.types.LogicAI.invalid(Teamc),0,1,1,1
mindustry.ai.types.LogicAI.keepState(),0,1,1,1
mindustry.ai.types.LogicAI.retarget(),0,1,1,1
mindustry.ai.types.LogicAI.shouldShoot(),2,1,1,3
"mindustry.ai.types.LogicAI.target(float, float, float, boolean, boolean)",1,1,1,3
mindustry.ai.types.LogicAI.updateMovement(),54,2,27,33
mindustry.ai.types.MinerAI.stanceChanged(),2,1,4,5
mindustry.ai.types.MinerAI.updateMovement(),60,5,34,39
mindustry.ai.types.MissileAI.resetTimers(),0,1,1,1
mindustry.ai.types.MissileAI.retarget(),0,1,1,1
"mindustry.ai.types.MissileAI.target(float, float, float, boolean, boolean)",4,1,5,5
